wf,model,symbol,n,auc,accuracy,balanced_accuracy
WF2,M_IDENTITY_MAP,P,971,0.6276,0.6457,0.5662
WF2,M_IDENTITY_MAP,RB,1728,0.6135,0.6157,0.5671
WF2,M_IDENTITY_MAP,RU,1075,0.6477,0.626,0.5648
WF2,M_IDENTITY_MAP,SC,967,0.6023,0.605,0.5366
WF2,M_IDENTITY_MAP,SN,604,0.6338,0.6672,0.5805
WF2,M_IDENTITY_MAP,TA,1030,0.6341,0.633,0.576
WF2,M_MAP_CORE,AG,651,0.6057,0.6498,0.5655
WF2,M_MAP_CORE,AL,893,0.6925,0.6316,0.5897
WF2,M_MAP_CORE,AU,688,0.6925,0.6352,0.5833
WF2,M_MAP_CORE,CF,1294,0.6349,0.6059,0.5942
WF2,M_MAP_CORE,CU,749,0.6467,0.6142,0.5721
WF2,M_MAP_CORE,I,2100,0.5579,0.5319,0.5171
WF2,M_MAP_CORE,M,1484,0.6307,0.6004,0.563
WF2,M_MAP_CORE,MA,1218,0.5993,0.5911,0.5317
WF2,M_MAP_CORE,NI,811,0.6702,0.6067,0.5966
WF2,M_MAP_CORE,P,971,0.6348,0.6416,0.5652
WF2,M_MAP_CORE,RB,1728,0.6178,0.6152,0.5688
WF2,M_MAP_CORE,RU,1075,0.6563,0.6344,0.5746
WF2,M_MAP_CORE,SC,967,0.5921,0.6112,0.5469
WF2,M_MAP_CORE,SN,604,0.6514,0.6705,0.5842
WF2,M_MAP_CORE,TA,1030,0.6272,0.6097,0.5555
WF2,N_GLOBAL4,AG,651,0.5951,0.6221,0.5546
WF2,N_GLOBAL4,AL,893,0.7169,0.6517,0.6143
WF2,N_GLOBAL4,AU,688,0.6898,0.6337,0.5751
WF2,N_GLOBAL4,CF,1294,0.6729,0.6461,0.6002
WF2,N_GLOBAL4,CU,749,0.6508,0.6101,0.5706
WF2,N_GLOBAL4,I,2100,0.6289,0.599,0.5859
WF2,N_GLOBAL4,M,1484,0.6843,0.6678,0.6315
WF2,N_GLOBAL4,MA,1218,0.6232,0.5878,0.526
WF2,N_GLOBAL4,NI,811,0.663,0.5845,0.5747
WF2,N_GLOBAL4,P,971,0.6869,0.6797,0.6108
WF2,N_GLOBAL4,RB,1728,0.6306,0.6169,0.5791
WF2,N_GLOBAL4,RU,1075,0.6699,0.6251,0.5785
WF2,N_GLOBAL4,SC,967,0.6832,0.6432,0.6009
WF2,N_GLOBAL4,SN,604,0.6525,0.6639,0.6026
WF2,N_GLOBAL4,TA,1030,0.6527,0.6456,0.5992
WF2,N_IDENTITY_MAP,AG,651,0.5479,0.6221,0.5409
WF2,N_IDENTITY_MAP,AL,893,0.7081,0.6327,0.5826
WF2,N_IDENTITY_MAP,AU,688,0.6503,0.6206,0.5676
WF2,N_IDENTITY_MAP,CF,1294,0.6916,0.6553,0.6018
WF2,N_IDENTITY_MAP,CU,749,0.6531,0.5928,0.5462
WF2,N_IDENTITY_MAP,I,2100,0.6192,0.5757,0.5586
WF2,N_IDENTITY_MAP,M,1484,0.6641,0.6449,0.6098
WF2,N_IDENTITY_MAP,MA,1218,0.6451,0.6125,0.5558
WF2,N_IDENTITY_MAP,NI,811,0.669,0.5795,0.5705
WF2,N_IDENTITY_MAP,P,971,0.6715,0.6478,0.5752
WF2,N_IDENTITY_MAP,RB,1728,0.6308,0.61,0.5711
WF2,N_IDENTITY_MAP,RU,1075,0.6489,0.613,0.5606
WF2,N_IDENTITY_MAP,SC,967,0.6462,0.6184,0.5678
WF2,N_IDENTITY_MAP,SN,604,0.6444,0.6821,0.5952
WF2,N_IDENTITY_MAP,TA,1030,0.6404,0.6272,0.5714
WF2,N_MAP_CORE,AG,651,0.5644,0.6221,0.5435
WF2,N_MAP_CORE,AL,893,0.6992,0.6473,0.6043
WF2,N_MAP_CORE,AU,688,0.6432,0.6003,0.5436
WF2,N_MAP_CORE,CF,1294,0.7077,0.6491,0.5972
WF2,N_MAP_CORE,CU,749,0.6373,0.5888,0.5383
WF2,N_MAP_CORE,I,2100,0.6199,0.5776,0.5616
WF2,N_MAP_CORE,M,1484,0.6409,0.6294,0.5963
WF2,N_MAP_CORE,MA,1218,0.592,0.5854,0.5316
WF2,N_MAP_CORE,NI,811,0.693,0.6141,0.6059
WF2,N_MAP_CORE,P,971,0.6687,0.6478,0.5803
WF2,N_MAP_CORE,RB,1728,0.6261,0.6262,0.5923
WF2,N_MAP_CORE,RU,1075,0.6613,0.654,0.6111
WF2,N_MAP_CORE,SC,967,0.6568,0.6391,0.5889
WF2,N_MAP_CORE,SN,604,0.6496,0.6507,0.5742
WF2,N_MAP_CORE,TA,1030,0.6361,0.6301,0.5779
WF3,M_ID,AG,739,0.477,0.6752,0.5
WF3,M_ID,AL,1113,0.56,0.6047,0.4993
WF3,M_ID,AU,773,0.5079,0.6908,0.4991
WF3,M_ID,CF,1083,0.5231,0.6307,0.4993
WF3,M_ID,CU,933,0.5153,0.6538,0.5
WF3,M_ID,I,1713,0.5185,0.5914,0.5073
WF3,M_ID,M,1192,0.5583,0.5839,0.501
WF3,M_ID,MA,836,0.4946,0.5993,0.5
WF3,M_ID,NI,826,0.4371,0.6102,0.5
WF3,M_ID,P,829,0.5161,0.5983,0.5
WF3,M_ID,RB,1980,0.4531,0.6343,0.499
WF3,M_ID,RU,975,0.5445,0.6308,0.4976
WF3,M_ID,SC,850,0.5397,0.5906,0.5
WF3,M_ID,SN,787,0.5213,0.5832,0.5
