variant,wf,action,structure_scale,base_h,later_h,waiting_distance,matched_n,median_delta_RR,mean_delta_target_first,median_delta_E_R_lower,median_delta_E_R_upper,median_delta_target_distance_atr,median_delta_risk_distance_atr,share_delta_RR_positive,share_delta_target_first_positive,share_delta_E_R_lower_positive
first_available,WF3,OUTWARD,1.2,2,8,6,6140,1.5794978211362656,-0.14755700325732898,0.0,0.0,0.6960594315245479,-0.4166666666666667,0.7197068403908795,0.06123778501628664,0.15390879478827363
first_available,WF3,OUTWARD,1.2,3,8,5,2955,1.1666666666666665,-0.15972927241962775,0.0,0.0,0.5,-0.32258064516129037,0.6934010152284263,0.05549915397631134,0.14247038917089677
first_available,WF1,INWARD,0.2,2,8,6,20633,1.0,-0.04560655260989677,0.0,0.0,0.1785714285714286,-0.0625,0.5771337178306596,0.0703242378713711,0.09227935830950419
first_available,WF1,INWARD,0.2,3,8,5,2164,0.0888888888888888,0.01155268022181146,0.0,0.0,0.0,0.0,0.5018484288354899,0.07948243992606285,0.09611829944547134
first_available,WF1,INWARD,0.2,5,8,3,238,0.2752525252525252,-0.02100840336134454,0.0,0.0,-0.04854368932038833,0.0,0.5126050420168067,0.029411764705882353,0.06302521008403361
first_available,WF2,INWARD,0.2,2,8,6,20490,1.1666666666666665,-0.04275256222547584,0.0,0.0,0.09999999999999998,-0.09270000859328006,0.5815519765739385,0.06857003416300635,0.09346022449975598
first_available,WF2,INWARD,0.2,3,8,5,1796,-0.225,0.021714922048997772,0.0,0.0,0.0,0.0,0.47438752783964366,0.08518930957683742,0.10968819599109131
first_available,WF2,INWARD,0.2,5,8,3,263,-1.7333333333333334,0.015209125475285171,0.0,0.0,0.0,0.0,0.4068441064638783,0.057034220532319393,0.07224334600760456
first_available,WF3,INWARD,0.2,2,8,6,20386,1.0078601276733692,-0.04110664181300893,0.0,0.0,0.10416666666666674,-0.07175516819626734,0.5724516825272246,0.07156872363386638,0.09555577357009712
first_available,WF3,INWARD,0.2,3,8,5,1580,0.16666666666666607,-0.020253164556962026,0.0,0.0,0.0,0.0,0.5164556962025316,0.05759493670886076,0.07025316455696203
first_available,WF3,INWARD,0.2,5,8,3,264,1.5,-0.06060606060606061,0.0,0.0,0.1477832512315267,0.0,0.5681818181818182,0.01893939393939394,0.041666666666666664
first_available,WF1,INWARD,0.4,2,8,6,19004,1.0,-0.056514418017259524,0.0,0.0,0.2055517998985973,-0.07509303127353747,0.5808777099557988,0.06798568722374237,0.09434855819827405
