instrument,horizon,features,learner,stratum,n,auc,brier_skill,logloss_skill,calibration_slope,return_spread
AL,H5,B1,logistic,TOP50,5711,0.5216737268219901,-0.018211308192573883,-0.02926088356652823,0.01626272862974771,2.6717898181882526e-05
AL,H5,B1,logistic,TOP30,4045,0.5256270927274656,-0.021273888900241733,-0.03801199930251675,0.01710393705722954,1.9835692085702284e-05
AL,H5,B1,logistic,TOP20,3005,0.5371153795859325,-0.02612163913334853,-0.04910822425396999,0.016450579153285863,9.809891041963386e-06
AL,H5,B2,gbr,ALL,8813,0.540226094889508,0.0005164134440196477,0.00013622338078467244,0.13335063676313513,6.569730001272648e-06
AL,H5,B2,gbr,TOP50,5711,0.5361167320681055,-0.002888572829748526,-0.0023873663597449024,0.1125363480313793,2.32993158073328e-06
AL,H5,B2,gbr,TOP30,4045,0.546958277543946,0.0018550952831944967,0.0011311089511416572,0.13838103017887385,3.5560365853838224e-06
AL,H5,B2,gbr,TOP20,3005,0.5555941590093547,0.004165853083825333,0.002890555830808994,0.15698985673873206,-4.4926851457467896e-05
AL,H5,B2,logistic,ALL,8813,0.5217184386846233,-0.012240260105692125,-0.01629654379473,0.030749504457631794,9.11172540613427e-06
AL,H5,B2,logistic,TOP50,5711,0.5146449471888381,-0.022139979496600848,-0.027532479047645664,0.020215347552508332,-4.7253162219920436e-05
AL,H5,B2,logistic,TOP30,4045,0.5185901246279874,-0.02560321407792454,-0.034593012151435065,0.021908469538553882,-1.742976251710638e-05
AL,H5,B2,logistic,TOP20,3005,0.5267032690536978,-0.03101045138336289,-0.043718883719083834,0.02197943249265178,-5.447114145590838e-05
AL,H5,B3,gbr,ALL,8813,0.5393721673141075,0.0007505836277551525,0.0003597386381677392,0.1372856074550504,1.6118146744265777e-06
AL,H5,B3,gbr,TOP50,5711,0.5372571946582825,-0.001536058941545626,-0.001334176907884066,0.12363985434817674,4.0905720490339206e-05
AL,H5,B3,gbr,TOP30,4045,0.5460308727961941,0.0022099819507390706,0.001462688805030088,0.14273953905556552,6.0397206044085695e-06
AL,H5,B3,gbr,TOP20,3005,0.5531154715728775,0.004063287185721132,0.0028553681008152143,0.15935317543818597,4.1298035110581404e-05
