group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread
ALL_8,H5,S3,TOP50,logistic,8,0.5268185105712255,1.0,-0.005193345859242027,0.125,-0.008184297211632607,0.125,4.4766688193387597e-05,0.625
EX_I_7,H15,S0,ALL,gbr,7,0.5187580841220563,1.0,-0.0032931888785334706,0.14285714285714285,-0.0024848095568945627,0.0,-0.00019100505979390952,0.42857142857142855
EX_I_7,H15,S0,ALL,logistic,7,0.504037255900308,1.0,-0.004915522107368009,0.14285714285714285,-0.003886623865898553,0.14285714285714285,-9.723910665294377e-05,0.14285714285714285
EX_I_7,H15,S0,TOP20,gbr,7,0.5143609331627492,1.0,-0.01182723223886839,0.0,-0.009461224428036319,0.0,-0.0004208724255603953,0.42857142857142855
EX_I_7,H15,S0,TOP20,logistic,7,0.5007002712498307,1.0,-0.012770071887584278,0.0,-0.009951796130426072,0.0,-0.00037694464931808805,0.14285714285714285
EX_I_7,H15,S0,TOP30,gbr,7,0.5149918087293721,1.0,-0.00658018969630203,0.0,-0.004876698588980322,0.0,-0.0003800381288496159,0.42857142857142855
EX_I_7,H15,S0,TOP30,logistic,7,0.5045536535983802,1.0,-0.010395768355714985,0.0,-0.008075447553733017,0.0,-0.00028437243981356943,0.14285714285714285
EX_I_7,H15,S0,TOP50,gbr,7,0.5143966796977153,1.0,-0.004737521106146669,0.0,-0.0036959887179104367,0.0,-0.0002960386033679191,0.2857142857142857
EX_I_7,H15,S0,TOP50,logistic,7,0.5027453355252773,1.0,-0.007689149976998655,0.14285714285714285,-0.006015008933537569,0.14285714285714285,-0.00011649525634069307,0.14285714285714285
EX_I_7,H15,S1,ALL,gbr,7,0.5167275314431036,1.0,-0.0038425141457332224,0.14285714285714285,-0.0029498483773819917,0.14285714285714285,-0.00014603137939237355,0.2857142857142857
EX_I_7,H15,S1,ALL,logistic,7,0.5077829871983661,1.0,-0.006359222400914355,0.14285714285714285,-0.007715867979279478,0.14285714285714285,-0.00010581520418680814,0.2857142857142857
EX_I_7,H15,S1,TOP20,gbr,7,0.5235357556890874,1.0,-0.010834269418591669,0.0,-0.00879529675965851,0.0,-0.000345040573827047,0.2857142857142857
EX_I_7,H15,S1,TOP20,logistic,7,0.5146842423710574,1.0,-0.015136878847963775,0.0,-0.017918758477087682,0.0,-6.970495191546499e-05,0.2857142857142857
EX_I_7,H15,S1,TOP30,gbr,7,0.5235911493255503,1.0,-0.005282192157085586,0.0,-0.004518706987396426,0.0,-0.00034290578253740517,0.2857142857142857
EX_I_7,H15,S1,TOP30,logistic,7,0.5131009984639017,1.0,-0.012967099703215412,0.14285714285714285,-0.014834889911057081,0.0,-0.00022213422981112786,0.42857142857142855
EX_I_7,H15,S1,TOP50,gbr,7,0.5177500742803156,1.0,-0.003941317662127464,0.0,-0.003034014684801134,0.0,-0.0001834719737788656,0.2857142857142857
EX_I_7,H15,S1,TOP50,logistic,7,0.5062492895796039,1.0,-0.009865113322192087,0.14285714285714285,-0.011555732184042489,0.14285714285714285,-0.00018335739544411096,0.14285714285714285
EX_I_7,H15,S2,ALL,gbr,7,0.5177407782283688,1.0,-0.0033495182319367434,0.0,-0.002557766907454795,0.0,-0.00012134531253035401,0.2857142857142857
