risk_ATR,wf,model,n_train,n_test,base_delivery_rate,roc_auc,pr_auc,brier,logloss,top20_delivery_rate,bottom20_delivery_rate,bottom20_avoidance_gain
1.0,WF2,M_full_minus_ob,46207,23468,0.7443551842330762,0.7691114509123262,0.9011556637469188,0.16377086271576258,0.4958901064577796,0.9625053259480187,0.4635705155517682,0.280784668681308
1.0,WF3,M0,69675,23685,0.7443551842330762,0.6228776966527351,0.8150156942883027,0.18750346179865934,0.55927472949553,0.8431496727886848,0.631834494405742,0.11252068982733421
1.0,WF3,M_contact,69675,23685,0.7443551842330762,0.6483997565024496,0.8302039021159704,0.18491422959606138,0.5521138397493061,0.87481528393498,0.597213426219126,0.14714175801395024
1.0,WF3,M_liquidity,69675,23685,0.7443551842330762,0.7684033373487781,0.9020452337968298,0.16275510613957198,0.49021400735956955,0.9594680177327423,0.46084019421574834,0.2835149900173279
1.0,WF3,M_trend,69675,23685,0.7443551842330762,0.6214202830154032,0.8103622946411104,0.1876634934157779,0.5598176675479252,0.8456829216803884,0.6217014988389276,0.12265368539414867
1.0,WF3,M_ob,69675,23685,0.7443551842330762,0.6258752782042147,0.8119346045721236,0.18741124185250474,0.5591455188931799,0.8412497361199072,0.6172683132784462,0.12708687095463
1.0,WF3,M_full,69675,23685,0.7443551842330762,0.7619848631198537,0.8989339443166281,0.165312280751705,0.4983707366185592,0.9594680177327423,0.4648511716276124,0.2795040126054638
1.0,WF3,M_full_minus_contact,69675,23685,0.7443551842330762,0.76496755202327,0.9001488469948249,0.1637784178828603,0.4937437467454677,0.9601013299556681,0.46506227570192105,0.2792929085311552
1.0,WF3,M_full_minus_liquidity,69675,23685,0.7443551842330762,0.6510216705474471,0.8307627701177804,0.1846171264958064,0.5515765747504692,0.8722820350432763,0.5898247836183238,0.15453040061475243
1.0,WF3,M_full_minus_trend,69675,23685,0.7443551842330762,0.7625301341991024,0.8991757480301498,0.16514131937126414,0.4977339054918435,0.9598902258813595,0.46717331644500737,0.27718186778806886
1.0,WF3,M_full_minus_ob,69675,23685,0.7443551842330762,0.7646235336893368,0.9002736708974125,0.164331128572565,0.49530204565483404,0.9577791851382732,0.46442896347899515,0.2799262207540811
1.5,WF1,M0,20763,25444,0.8463688946015424,0.638314075102021,0.9113962517109198,0.11531119964081636,0.3879949419157851,0.922381607388485,0.7640007860090391,0.08236810859250332
1.5,WF1,M_contact,20763,25444,0.8463688946015424,0.6454136763003746,0.9146888963119091,0.11652739995760218,0.3894311225884343,0.936726272352132,0.7785419532324622,0.06782694136908018
1.5,WF1,M_liquidity,20763,25444,0.8463688946015424,0.7830223891933618,0.9565209321589323,0.10857322395589701,0.3551477013037225,0.9919434073491845,0.6519944979367263,0.19437439666481615
